public	libraries__2014_holds_placed_by_location	16 kB	16384
public	libraries__2020_computer_sessions_by_location	16 kB	16384
public	libraries__2015_holds_filled_by_location	16 kB	16384
public	libraries__2017_computer_sessions_by_location	16 kB	16384
public	libraries__2018_computer_sessions_by_location	16 kB	16384
public	libraries__2019_computer_sessions_by_location	16 kB	16384
public	libraries__2018_holds_filled_by_location	16 kB	16384
public	libraries__2020_holds_placed_by_location	16 kB	16384
public	libraries__2020_holds_filled_by_location	16 kB	16384
public	libraries__2017_holds_filled_by_location	16 kB	16384
public	boundaries__special_service_areas_deprecated_may_2019__tabular_	16 kB	16384
public	boundaries__special_service_areas_deprecated_january_2020	16 kB	16384
public	libraries__2015_holds_placed_by_location	8192 bytes	8192
public	performance_metrics__public_health__percent_served_at_sti_speci	8192 bytes	8192
public	performance_metrics__streets__sanitation__tree_debris	8192 bytes	8192
public	electric_scooter_pilot_zone__2019	8192 bytes	8192
public	neighborhood_health_clinics__historical	8192 bytes	8192
public	financial_incentive_projects__property_assessed_clean_energy_pa	8192 bytes	8192
public	libraries__summer_reads_for_adults	8192 bytes	8192
public	dockless_bicycle_pilot_zones__summer_2018__new_format	8192 bytes	8192
public	christmas_tree_recycling_locations_2016__current	8192 bytes	8192
public	performance_metrics__business_affairs__consumer_protection__lim	8192 bytes	8192
public	cta__performance__bus_runs_held_due_to_absenteeism_2011_janaug	8192 bytes	8192
public	performance_metrics__family__support_services__senior_services_	8192 bytes	8192
public	healthy_chicago_equity_zones	8192 bytes	8192
public	performance_metrics__ethics__mandatory_annual_ethics_training	8192 bytes	8192
public	libraries__2015_wi_fi_usage	8192 bytes	8192
public	libraries__2018_holds_placed__by_location	8192 bytes	8192
public	census_data__selected_socioeconomic_indicators_in_chicago_2008_	8192 bytes	8192
public	performance_metrics__ethics__statements_of_financial_interests_	8192 bytes	8192
public	performance_metrics__innovation__technology__311_website_availa	8192 bytes	8192
public	performance_metrics__innovation__technology__city_website_avail	8192 bytes	8192
public	christmas_tree_recycling_locations_2014	8192 bytes	8192
public	escooter_priority_area__2020	8192 bytes	8192
public	libraries_wi_fi_usage_2014	8192 bytes	8192
public	nearby_cook_county_grocery_store_chains	8192 bytes	8192
public	performance_metrics__city_colleges_of_chicago__graduation_rates	8192 bytes	8192
public	performance_metrics__family__support_services__homeless_shelter	8192 bytes	8192
public	libraries__popular_nonfiction_titles_at_the_chicago_public_libr	8192 bytes	8192
public	produce_carts	8192 bytes	8192
public	urban_farms	8192 bytes	8192
public	public_health_statistics__life_expectancy_by_race_ethnicity__hi	8192 bytes	8192
public	foia_request_log__mayors_office_for_people_with_disabilities	8192 bytes	8192
public	beach_water_and_weather_sensor_locations	8192 bytes	8192
public	foia_request_log__compliance	8192 bytes	8192
public	libraries__popular_fiction_titles_at_the_chicago_public_library	8192 bytes	8192
public	libraries__wifi_usage_20112014	8192 bytes	8192
public	public_health_statistics__life_expectancy_by_community_area__hi	8192 bytes	8192
public	cta__ridership__annual_boarding_totals	8192 bytes	8192
public	landmark_districts	8192 bytes	8192
public	community_service_centers	8192 bytes	8192
public	chicago_microlending_institute_cmi_microloans__summary_by_ethni	8192 bytes	8192
public	foia_request_log__special_events__historical	8192 bytes	8192
public	chicago_department_of_public_health_clinic_locations	8192 bytes	8192
public	workforce_centers	8192 bytes	8192
public	performance_metrics__family__support_services__youth_services_p	8192 bytes	8192
public	chicago_traffic_tracker__congestion_estimates_by_regions	8192 bytes	8192
public	performance_metrics__city_colleges_of_chicago__course_success_r	8192 bytes	8192
public	christmas_tree_recycling_locations_2013	8192 bytes	8192
public	performance_metrics__business_affairs__consumer_protection__ret	8192 bytes	8192
public	chicago_public_schools__charter_school_preference_boundaries_sy	8192 bytes	8192
public	minority_and_women_business_payments	8192 bytes	8192
