CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JE343524,06/03/2021 10:00:00 AM,012XX E 93RD ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,N,N,413,8,11,1186287,1843568,41.725873056,-87.593208971,"(41.725873056, -87.593208971)"
JE385112,09/23/2021 11:50:00 PM,072XX N HARLEM AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,Y,Y,1611,41,08B,1127387,1947464,42.012166951,-87.806632272,"(42.012166951, -87.806632272)"
JE423139,10/19/2021 12:00:00 PM,027XX S KEELER AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,BANK,N,N,1031,22,11,1148831,1885367,41.841378004,-87.729338235,"(41.841378004, -87.729338235)"
JE340860,08/17/2021 08:00:00 PM,025XX S HARDING AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,N,N,1013,22,01A,1150452,1886770,41.84519658,-87.723353091,"(41.84519658, -87.723353091)"
JE346297,07/25/2021 12:00:00 PM,006XX E 89TH PL,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,N,N,633,6,05,1181984,1845773,41.732024281,-87.608902993,"(41.732024281, -87.608902993)"
JE340528,08/17/2021 01:55:00 PM,056XX S WOLCOTT AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,SIDEWALK,Y,N,715,15,15,1164650,1867267,41.791389621,-87.67179907,"(41.791389621, -87.67179907)"
JE340096,08/17/2021 07:15:00 AM,002XX W 38TH ST,031A,ROBBERY,ARMED - HANDGUN,CHA PARKING LOT / GROUNDS,N,N,915,3,03,1175107,1879647,41.825134315,-87.633085635,"(41.825134315, -87.633085635)"
JE261337,06/10/2021 12:00:00 AM,046XX S FAIRFIELD AVE,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,N,N,922,15,08B,1158814,1873815,41.809479436,-87.693019754,"(41.809479436, -87.693019754)"
JE361373,08/31/2021 02:00:00 PM,060XX S CHAMPLAIN AVE,1110,DECEPTIVE PRACTICE,BOGUS CHECK,RESIDENCE,N,N,313,20,11,1181604,1865076,41.785002507,-87.609700245,"(41.785002507, -87.609700245)"
JE343609,07/20/2021 07:00:00 AM,008XX W GRAND AVE,0890,THEFT,FROM BUILDING,RESIDENCE - PORCH / HALLWAY,N,N,1214,27,06,1170505,1903673,41.89116528,-87.649266766,"(41.89116528, -87.649266766)"
JE334089,08/11/2021 04:30:00 PM,042XX S COTTAGE GROVE AVE,0460,BATTERY,SIMPLE,APARTMENT,N,N,214,4,08B,1182309,1877148,41.81811276,-87.60674129,"(41.81811276, -87.60674129)"
JE334679,08/12/2021 08:00:00 AM,059XX S ASHLAND AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,GAS STATION,N,N,713,16,07,1166686,1865425,41.786291714,-87.664386014,"(41.786291714, -87.664386014)"
JE357160,08/31/2021 07:25:00 PM,008XX W GUNNISON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,2024,46,08B,1169777,1932425,41.970078012,-87.651100133,"(41.970078012, -87.651100133)"
JE329007,08/07/2021 03:00:00 AM,040XX W NELSON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,N,Y,2523,31,08B,1148918,1919975,41.93634443,-87.728123235,"(41.93634443, -87.728123235)"
JE341008,08/17/2021 09:40:00 PM,009XX E 95TH ST,0810,THEFT,OVER $500,COMMERCIAL / BUSINESS OFFICE,N,Y,511,8,06,1184053,1842173,41.722097431,-87.601435606,"(41.722097431, -87.601435606)"
